Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Access User Data from Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/msgraph-access-user-data/,8,636,"3,740",45.85%,460,105,118,2,72.75777778,13.77118822,82,4.6,5,,,m365;ms-graph,developer,intermediate,suzanz,andrewconnell-msft
Access user photo information by using Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/msgraph-user-photo-information/,4,324,"1,278",54.81%,208,57,54,,25.42861111,9.418004115,17,5,4,,,m365;ms-graph,developer,beginner,rwilliams,rabwill
Accessibility best practices for games and platforms,https://docs.microsoft.com/en-us/learn/modules/games-and-platforms1/,6,,,,,,,,,,38,,,,,xbox,developer,beginner,kaitlynjones,kaitlynjones
Accessibility best practices for gaming hardware,https://docs.microsoft.com/en-us/learn/modules/hardware-devices/,6,,,,,,1,,,,55,,,,,xbox,developer,beginner,kaitlynjones,kaitlynjones
"Accessibility, special education, and online learning: Supporting equity in a remote learning environment",https://docs.microsoft.com/en-us/learn/modules/accessibility-special-education-online-learning-equity/,11,240,"1,484",56.67%,120,34,33,,9.455555556,4.727777778,47,5,3,,,office-teams;office-365;office-onenote,k-12-educator;school-leader,beginner,abdewees,mec-sa
Activate spatial audio for your HoloLens 2 application,https://docs.microsoft.com/en-us/learn/modules/spatial-audio-tutorials-mrtk/,13,453,"3,526",21.95%,329,36,37,,36.97555556,9.816519174,23,4.5,2,,,windows;windows-mixed-reality;mrtk;hololens;azure;mrtk,developer,beginner,sekerawa,Sean-Kerawala
Active Directory handling in Power Automate for desktop,https://docs.microsoft.com/en-us/learn/modules/pad-active-directory/,5,960,"3,400",31.11%,540,84,90,,67.3875,8.441022965,32,4,1,,,power-platform;power-automate,administrator;developer;maker,advanced,marleon,mariosleon
Active Directory handling in WinAutomation,https://docs.microsoft.com/en-us/learn/modules/active-directory/,5,221,758,54.10%,123,33,34,,10.93,5.961818182,34,,,,,power-platform;power-automate,administrator;developer;maker,advanced,marleon,mariosleon
Add a custom domain in Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/add-custom-domain-microsoft-365/,7,734,"5,174",73.36%,608,223,254,,141.0172222,23.05458674,33,4.8,10,,,azure-active-directory;m365;office-365,administrator;solution-architect;technology-manager,intermediate,tfrink,wwlpublish
Add a layout to a report in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/add-layout-report/,6,268,"1,518",47.06%,204,48,46,,36.46194444,16.32624378,52,4,1,,,dynamics-365;dynamics-business-central,developer,intermediate,kschimke,KevSch
Add and size disks in Azure virtual machines,https://docs.microsoft.com/en-us/learn/modules/add-and-size-disks-in-azure-virtual-machines/,7,"3,572","16,210",46.85%,"2,391",558,598,,237.2569444,7.988449308,36,4.805555556,36,245,216,azure;azure-virtual-machines;azure-portal;azure-disk-storage,developer;administrator,intermediate,cwatson,cwatson-cat
Add Azure Cognitive Services to your mixed reality project,https://docs.microsoft.com/en-us/learn/modules/azure-speech-services-tutorials-mrtk/,11,407,"2,236",28.21%,234,33,36,,38.96861111,11.51781609,29,4.666666667,3,,,windows;windows-mixed-reality;mrtk;hololens;azure;mrtk,developer,beginner,sekerawa,Sean-Kerawala
Add calculated tables and columns to Power BI Desktop models,https://docs.microsoft.com/en-us/learn/modules/dax-power-bi-add-calculated-tables/,6,"5,346","23,882",36.75%,"3,632",663,601,4,612.1077778,13.77586897,19,4.755555556,45,,,power-bi;power-platform,maker;data-analyst,intermediate,robde,heyrob
Add custom domain name to Azure Active Directory,https://docs.microsoft.com/en-us/learn/modules/add-custom-domain-name-azure-active-directory/,5,"4,383","22,541",85.74%,"3,399","1,455","1,563",7,193.8916667,5.314527181,18,4.759493671,79,,,azure;azure-active-directory,administrator,beginner,cwatson,cwatson-cat
Add decision logic to your code using the if-elseif-else statement in C#,https://docs.microsoft.com/en-us/learn/modules/csharp-if-elseif-else/,7,"6,479","45,739",62.08%,"5,209","1,609","1,758",6,1126.052222,20.91737874,33,4.882716049,162,,,dotnet,developer;student,beginner,rotabor,bobtabor-msft
Add looping logic to your code using the do-while and while statements in C#,https://docs.microsoft.com/en-us/learn/modules/csharp-do-while/,6,"1,983","14,848",64.74%,"1,630",527,563,,303.4405556,18.3903367,23,4.852459016,61,,,dotnet,developer;student,beginner,rotabor,bobtabor-msft
Add machine learning to a Universal Windows Platform (UWP) app,https://docs.microsoft.com/en-us/learn/modules/add-machine-learning-to-uwp-app/,5,229,498,8.70%,139,6,7,,10.87472222,5.723538012,60,5,1,,,windows,developer,beginner,mattwoj,mattwojo
Add measures to Power BI Desktop models,https://docs.microsoft.com/en-us/learn/modules/dax-power-bi-add-measures/,7,"2,888","17,527",52.28%,"2,240",584,547,3,398.8563889,16.60748323,13,4.769230769,39,,,power-bi;power-platform,maker;data-analyst,intermediate,robde,heyrob
Add new objects to Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/add-new-objects/,10,781,"7,700",42.91%,581,124,118,,153.3297222,23.64982862,55,5,10,,,dynamics-365;dynamics-business-central,developer,beginner,kschimke,KevSch
Add principles of inclusive design to your Windows app,https://docs.microsoft.com/en-us/learn/modules/write-inclusive-windows-apps/,6,222,990,55.74%,122,34,38,,10.34277778,5.590690691,75,5,5,,,windows,developer,intermediate,v-pettur,PeterTurcan
Add reports to Tell Me and substitute a report in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/add-reports-tell-me/,5,166,800,63.93%,122,39,38,,10.71083333,7.742771084,22,,,,,dynamics-365;dynamics-business-central,developer,intermediate,kschimke,KevSch
Address tangible risks with the Govern methodology of the Cloud Adoption Framework for Azure,https://docs.microsoft.com/en-us/learn/modules/cloud-adoption-framework-govern/,9,264,"1,680",63.22%,174,55,62,,30.39361111,13.81527778,76,4.25,4,,,azure,administrator;developer;solution-architect;auditor;business-analyst;business-owner;functional-consultant;privacy-manager;risk-practitioner;security-engineer;student;technology-manager,beginner,jumcn,BrianBlanchard
Adjust exchange rates in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/adjust-exchange-rates-dynamics-365-business-central/,5,351,"1,200",16.04%,212,17,16,,16.48138889,5.650761905,36,,,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Adjust inventory in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/adjust-inventory/,8,408,"2,512",40.27%,298,60,51,,42.69694444,12.55792484,48,4.8,5,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Adjust process behavior using conditional actions with Power Automate for desktop,https://docs.microsoft.com/en-us/learn/modules/pad-conditionals/,7,563,"3,836",76.15%,436,166,169,2,64.21916667,13.71227758,40,4.909090909,11,,,power-platform;power-automate,maker;developer;functional-consultant,beginner,marleon,mariosleon
Adjust process behavior using conditional actions with WinAutomation,https://docs.microsoft.com/en-us/learn/modules/conditionals/,7,90,498,78.57%,56,22,23,,2.318611111,3.091481481,40,,,,,power-platform;power-automate,maker;developer;functional-consultant,beginner,marleon,mariosleon
Administer and configure Dynamics 365 Sales Professional,https://docs.microsoft.com/en-us/learn/modules/administer-configure-d365-sales-professional/,17,472,"4,914",47.50%,322,76,82,,29.99694444,7.658794326,62,4.857142857,7,,,dynamics-365;dynamics-sales,administrator;business-user;functional-consultant,intermediate,kschimke,KevSch
Administer and manage Windows Server IaaS Virtual Machine remotely,https://docs.microsoft.com/en-us/learn/modules/administer-manage-windows-server-iaas-virtual-machine-remotely/,7,"6,488","56,400",89.52%,"6,062","2,716","3,433",5,494.5966667,9.167686129,44,4.822368421,152,,,azure;azure-cloud-shell;azure-portal;azure-virtual-machines,administrator;solution-architect;technology-manager,intermediate,tonyj,wwlpublish
Administer Business Central online,https://docs.microsoft.com/en-us/learn/modules/admin-online-dynamics-365-business-central/,11,"1,750","11,942",31.72%,"1,492",236,198,,414.8152778,28.50964108,100,4.533333333,15,,,dynamics-365;dynamics-business-central,administrator;functional-consultant,intermediate,kschimke,KevSch
Administer Microsoft Power Platform subscriptions,https://docs.microsoft.com/en-us/learn/modules/administrating-power-platform-subscriptions/,9,"7,753","79,903",88.33%,"7,179","3,179","3,536",6,873.1338889,13.55447176,57,4.47761194,134,,,power-apps;dynamics-365;power-platform,administrator;functional-consultant,intermediate,dbeasley,DaveBeasley
"Adopt, maintain, and troubleshoot Microsoft Teams Rooms",https://docs.microsoft.com/en-us/learn/modules/m365-teams-rooms-troubleshooting/,6,602,"3,220",64.32%,484,155,157,,27.74388889,5.548777778,34,4.916666667,12,,,m365;office-teams,administrator;student,intermediate,teleary,temanteleary
Advance Power BI Premium for the enterprise analytics market and beyond,https://docs.microsoft.com/en-us/learn/modules/advance-power-bi-premium-for-enterprise-analytics-market-beyond/,8,4,36,100.00%,2,1,1,,0.179444444,5.383333333,29,,,,,power-bi;azure-synapse-analytics,business-analyst;business-owner;business-user;data-analyst,beginner,dahans,wwlpublish
Advanced concepts to improve business process flows in Power Automate,https://docs.microsoft.com/en-us/learn/modules/advanced-business-process-flows/,8,"2,154","16,988",66.23%,"1,826",602,620,3,439.7458333,24.61263993,62,4.772727273,22,,,power-automate;power-platform,maker;functional-consultant;business-user,intermediate,dbeasley,DaveBeasley
Advanced configuration for Dynamics 365 Marketing,https://docs.microsoft.com/en-us/learn/modules/get-started-advanced-configuration/,10,649,"5,202",43.38%,545,118,105,,193.2052778,35.77875514,68,5,3,,,dynamics-365;dynamics-marketing,administrator;functional-consultant;business-user,intermediate,kschimke,KevSch
Advanced event management features in Dynamics 365 Marketing,https://docs.microsoft.com/en-us/learn/modules/advanced-event-management-marketing/,5,218,"1,008",73.68%,152,56,56,,16.52527778,9.09648318,29,5,2,,,dynamics-365;dynamics-marketing,business-user;functional-consultant,intermediate,kschimke,KevSch
Align requirements with cloud types and service models in Azure,https://docs.microsoft.com/en-us/learn/modules/align-requirements-in-azure/,8,"9,146","66,276",60.79%,"8,258","2,499","2,501",10,1094.928611,14.41011552,35,4.75,216,,,azure,solution-architect,beginner,jaboes,jboeshart
Allocate costs in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/allocate-costs-dynamics-365-business-central/,7,228,"1,088",26.03%,146,19,19,,22.45527778,11.81856725,55,,,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Allow users to reset their password with Azure Active Directory self-service password reset,https://docs.microsoft.com/en-us/learn/modules/allow-users-reset-their-password/,6,"9,832","70,016",81.81%,"8,856","3,603","3,922",15,1034.294722,12.67000476,31,4.705263158,190,"1,435","1,191",azure;azure-active-directory,administrator;solution-architect,beginner,cwatson,cwatson-cat
Analyze and optimize data warehouse storage in Azure Synapse Analytics,https://docs.microsoft.com/en-us/learn/modules/analyze-optimize-data-warehouse-storage-azure-synapse-analytics/,13,"1,509","18,256",74.72%,"1,261",470,501,,299.0605556,23.82952634,39,4.166666667,12,,,azure-synapse-analytics,data-engineer,advanced,chtestao,wwlpublish
Analyze climate data with Azure Notebooks,https://docs.microsoft.com/en-us/learn/modules/analyze-climate-data-with-azure-notebooks/,8,464,"2,022",12.74%,424,27,25,,31.09972222,8.043031609,45,,,,,azure,developer;data-scientist;student,beginner,chnoring,jeffprosise
Analyze collaboration and engagement using the Workplace Analytics Ways of working assessment dashboard,https://docs.microsoft.com/en-us/learn/modules/workplace-analytics-ways-working/,5,568,"2,828",68.78%,411,141,136,1,51.31472222,10.87944641,31,4.75,4,,,m365;m365-workplace-analytics;power-bi,business-analyst;data-analyst;business-owner,intermediate,teleary,temanteleary
Analyze data with Power BI,https://docs.microsoft.com/en-us/learn/modules/analyze-data-power-bi/,6,"10,414","46,121",39.68%,"6,744","1,331","1,213",24,1091.570278,12.6217415,60,4.721311475,244,,,power-bi;power-platform,business-user;data-analyst,beginner,robde,heyrob
Analyze DevOps Continuous Planning and Continuous Integration,https://docs.microsoft.com/en-us/learn/modules/analyze-devops-continuous-planning-intergration/,5,"1,825","9,374",64.42%,"1,545",496,504,1,239.6341667,15.81743674,22,4.785714286,42,,,azure,administrator;business-analyst;business-owner;business-user;developer;devops-engineer;functional-consultant;maker;security-engineer;solution-architect;technology-manager,beginner,sallybre,wwlpublish
Analyze Dynamics 365 sales data,https://docs.microsoft.com/en-us/learn/modules/analyze-dynamics-365-sales-data/,8,"2,992","25,274",80.35%,"2,731","1,100","1,101",2,300.08,12.05947756,60,4.816666667,60,131,124,dynamics-365;dynamics-sales,business-user;functional-consultant,intermediate,kschimke,KevSch
Analyze images,https://docs.microsoft.com/en-us/learn/modules/analyze-images/,7,"1,518","10,598",64.51%,"1,394",449,467,1,98.81305556,7.821613896,48,4.85,20,,,azure-cognitive-services;azure-computer-vision,ai-engineer;developer,intermediate,gmalc,wwlpublish
Analyze images of rocks by using artificial intelligence,https://docs.microsoft.com/en-us/learn/modules/analyze-rock-images-ai-nasa/,8,201,"1,018",25.42%,119,15,15,,15.43111111,9.258666667,24,,,,,vs-code,student;data-scientist,beginner,chnoring,drguthals
Analyze images with the Computer Vision service,https://docs.microsoft.com/en-us/learn/modules/analyze-images-computer-vision/,5,"9,769","60,542",54.72%,"9,318","2,537","2,558",11,1175.779444,14.49789697,28,4.751515152,165,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,gmalc,wwlpublish
Analyze Microsoft Workplace Analytics data using the wpa R package,https://docs.microsoft.com/en-us/learn/modules/workplace-analytics-r-package/,7,262,956,33.33%,114,19,19,1,11.19833333,5.129007634,50,5,1,,,m365;m365-workplace-analytics,business-analyst;data-analyst;data-scientist,beginner,teleary,temanteleary
Analyze query results using KQL,https://docs.microsoft.com/en-us/learn/modules/analyze-results-kusto-query-language/,7,"7,739","64,563",91.54%,"7,197","3,277","4,035",5,443.4297222,6.88733713,30,4.801801802,111,,,azure;azure-sentinel,security-operations-analyst,intermediate,bneeb,wwlpublish
Analyze receipts with the Form Recognizer service,https://docs.microsoft.com/en-us/learn/modules/analyze-receipts-form-recognizer/,5,"5,388","33,857",75.64%,"5,013","1,888","2,042",1,329.5177778,7.352572208,24,4.764705882,136,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,gmalc,wwlpublish
Analyze role-based permissions,https://docs.microsoft.com/en-us/learn/modules/exchange-setup-using-role-based-permissions/,6,68,422,82.14%,56,23,24,1,1.841111111,3.249019608,28,,,,,azure-active-directory;m365,administrator,intermediate,tfrink,wwlpublish
Analyze text with the Language service,https://docs.microsoft.com/en-us/learn/modules/analyze-text-with-text-analytics-service/,5,"7,500","41,172",60.80%,"6,999","2,111","2,147",9,831.2475,13.34979925,36,4.703389831,118,,,azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,gmalc,wwlpublish
Analyze the sentiment of reviews with Keras,https://docs.microsoft.com/en-us/learn/modules/analyze-review-sentiment-with-keras/,5,120,712,42.22%,90,19,20,,19.18666667,19.18666667,35,,,,,azure,developer;data-scientist;student,beginner,chnoring,jeffprosise
Analyze the sentiment of text with AI Builder,https://docs.microsoft.com/en-us/learn/modules/get-started-with-ai-builder-sentiment-analysis/,5,874,"4,706",73.26%,719,263,276,,58.42833333,8.04059633,55,5,4,,,ai-builder;power-platform;power-automate,maker;business-user,beginner,robde,heyrob
Analyze video,https://docs.microsoft.com/en-us/learn/modules/analyze-video/,7,"1,402","10,592",73.68%,"1,217",448,477,,125.4166667,10.75,48,4.739130435,23,,,azure-cognitive-services;azure-video-indexer,ai-engineer;developer,intermediate,gmalc,wwlpublish
Analyze Windows 10 diagnostic data using Desktop Analytics,https://docs.microsoft.com/en-us/learn/modules/introduction-to-desktop-analytics/,8,"6,807","65,957",94.27%,"6,541","3,078","3,713",2,515.3833333,9.103032087,37,4.767605634,142,,,azure-active-directory;m365;office-365,administrator;security-engineer;solution-architect;technology-manager,intermediate,tfrink,wwlpublish
Analyze your Azure infrastructure by using Azure Monitor logs,https://docs.microsoft.com/en-us/learn/modules/analyze-infrastructure-with-azure-monitor-logs/,5,"8,191","45,183",77.79%,"6,757","2,627","2,818",6,776.4555556,11.41566609,36,4.815789474,114,853,828,azure;azure-monitor,solution-architect;administrator;security-engineer,beginner,jaboes,jboeshart
Analyze your device and app readiness for Windows,https://docs.microsoft.com/en-us/learn/modules/m365-modern-device-app/,5,"9,277","56,563",85.14%,"8,381","3,546","4,124",11,689.8727778,8.945832433,18,4.813131313,198,,,m365;office-365;windows,administrator,intermediate,teleary,temanteleary
Analyze your directory and network readiness for Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/m365-directory-network-readiness/,4,"8,077","45,300",91.22%,"7,456","3,385","3,976",13,469.6305556,6.988549934,23,4.79375,160,,,m365;windows,administrator,intermediate,teleary,temanteleary
Application and package management using Helm,https://docs.microsoft.com/en-us/learn/modules/aks-app-package-management-using-helm/,8,"1,542","7,648",30.54%,"1,011",153,166,,248.5841667,19.47134465,58,4.818181818,11,132,105,azure;azure-kubernetes-service,developer;administrator;solution-architect;student,beginner,chrvaw,cryophobia
Application scalability on AKS with HorizontalPodAutoscalers,https://docs.microsoft.com/en-us/learn/modules/aks-application-autoscaling-native/,5,102,294,33.33%,48,8,6,,5.852222222,6.88496732,10,,,,,azure;azure-kubernetes-service,solution-architect;developer;devops-engineer,beginner,ludossan,khaosdoctor
Application types in Microsoft identity,https://docs.microsoft.com/en-us/learn/modules/identity-application-types/,8,742,"4,410",40.00%,532,106,118,,118.6686111,19.24355856,50,5,3,,,m365;azure-active-directory,developer,intermediate,suzanz,andrewconnell
Applications and infrastructure migration and modernization,https://docs.microsoft.com/en-us/learn/modules/app-and-infra-migration-and-modernization/,9,"2,392","14,402",50.54%,"1,481",372,392,1,280.5247222,14.15599944,43,4.909090909,44,,,azure,business-user,beginner,a-almace,alinamacelaru
Apply AI Builder Text Recognition in the transportation industry,https://docs.microsoft.com/en-us/learn/modules/apply-ai-builder-text-recognition-transportation-industry/,7,135,520,41.94%,62,13,13,,8.520277778,7.630099502,108,,,,,ai-builder;power-platform;power-automate,maker;business-user,beginner,robde,heyrob
Apply and manage sensitivity labels,https://docs.microsoft.com/en-us/learn/modules/apply-manage-sensitivity-labels/,8,"6,121","57,179",91.24%,"5,713","2,584","3,091",4,479.6627778,9.414382292,54,4.639534884,86,,,m365;m365-information-protection,auditor;ip-admin;risk-practitioner,intermediate,bneeb,wwlpublish
Apply basic performance optimization in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/apply-basic-performance-optimization-finance-operations/,13,535,"7,086",54.05%,445,120,115,,275.8291667,61.9840824,51,4.875,8,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,developer,intermediate,cstorega,cstorega
Apply cluster upgrades and security patches with Azure Kubernetes Service,https://docs.microsoft.com/en-us/learn/modules/aks-cluster-upgrades-patches/,6,"6,179","12,274",0.23%,"6,139",7,5,,18.30416667,0.355535772,60,,,"2,948","2,948",azure;azure-kubernetes-service,solution-architect;devops-engineer,beginner,mixie,MicrosoftMichelle
Apply next-generation protection with Microsoft Defender for Endpoint,https://docs.microsoft.com/en-us/learn/modules/m365-apply-next-generation-protection/,5,594,"3,134",75.00%,456,171,187,1,58.13027778,11.74349046,12,5,11,,,m365;m365-security-center;mdatp,security-operations-analyst;security-engineer,beginner,beccarobins,beccarobins
Approach your data-flow diagram with the right threat model focus,https://docs.microsoft.com/en-us/learn/modules/tm-approach-your-data-flow-diagram-with-the-right-threat-model-focus/,4,284,"1,130",73.96%,192,71,68,,9.461111111,3.997652582,8,5,5,,,azure-iot-security-center;azure-security-center;m365-security-center;m365-ems-cloud-app-security,administrator;developer;devops-engineer;security-engineer;solution-architect,beginner,rodsan,rodsan
Aprendizaje Basado en Juegos - Global Inclusive Education,https://docs.microsoft.com/en-us/learn/modules/aprendizaje-basado-juegos-gie/,14,2,10,NaN,0,0,,,0.014722222,0.883333333,67,,,,,office-teams;office-365,k-12-educator;school-leader,beginner,abdewees,mec-sa
Aprendizaje híbrido en el aula de la escuela primaria,https://docs.microsoft.com/en-us/learn/modules/aprendizaje-hibrido-en-el-aula-de-la-escuela-primaria/,9,,,,,,,,,,50,,,,,office-teams;office-365,k-12-educator;school-leader,beginner,abdewees,mec-sa
Aprendizaje híbrido en el aula intermedia,https://docs.microsoft.com/en-us/learn/modules/aprendizaje-hibrido-en-el-aula-intermedia/,9,,,,,,,,,,40,,,,,office-teams;office-onenote,k-12-educator;school-leader,beginner,abdewees,mec-sa
Aprendizaje híbrido para el estudiante adolescente,https://docs.microsoft.com/en-us/learn/modules/aprendizaje-hibrido-para-estudiante-adolescente/,10,,,,,,,,,,57,,,,,office-teams;office-onenote;sway,k-12-educator;school-leader,beginner,abdewees,mec-sa
