Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Defend against threats with Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-security-threat-protection/,4,"14,186","143,629",223.27%,"1,341","2,994","3,641",2180,21.36868509,"5,681",217,learn-m365.m365-security-threat-protection,administrator,m365;office-365;m365-threat-protection,intermediate,beccarobins,AlexandraHrt
Manage meetings and calling in Microsoft Teams,https://docs.microsoft.com/en-us/learn/paths/manage-meetings-calling-microsoft-teams/,5,"6,617","282,662",221.49%,"1,833","4,060","4,762",2180,37.39375094,475,276,learn.wwl.manage-meetings-calling-microsoft-teams,administrator,m365;office-teams,intermediate,jennyche,wwlpublish
"Manage chat, teams, channels, and apps in Microsoft Teams",https://docs.microsoft.com/en-us/learn/paths/manage-chat-teams-channels-apps-microsoft-teams/,3,"6,472","170,974",216.78%,"1,955","4,238","4,998",2180,23.18503296,575,153,learn.wwl.manage-chat-teams-channels-apps-microsoft-teams,administrator,m365;office-teams,intermediate,jennyche,wwlpublish
Manage Teams Phone,https://docs.microsoft.com/en-us/learn/paths/manage-teams-voice/,3,"2,023","59,851",216.50%,612,"1,325","1,701",2180,22.29892898,115,157,learn.wwl.manage-teams-voice,administrator,m365;office-teams,advanced,dahans,wwlpublish
SC-200: Mitigate threats using Microsoft Defender for Cloud,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-azure-defender/,5,"5,624","186,280",216.07%,"1,680","3,630","3,997",2180,30.74464497,849,242,learn.wwl.sc-200-mitigate-threats-using-azure-defender,security-operations-analyst,azure;azure-security-center,intermediate,bneeb,wwlpublish
"Work with Microsoft Power Platform tenants, environments, subscriptions, and Dynamics 365 apps",https://docs.microsoft.com/en-us/learn/paths/implementing-customer-engagement-apps/,4,"5,819","174,514",199.35%,"1,535","3,060","3,420",2180,42.63138569,"2,239",315,learn-dynamics.implementing-customer-engagement-online,administrator;business-user;functional-consultant,dynamics-365;power-platform,intermediate,dbeasley,DaveBeasley
Azure for Researchers part 2: Cloud Security and Cost Management,https://docs.microsoft.com/en-us/learn/paths/researcher-cloud-security-cost-management/,4,"49,061","733,522",195.04%,423,825,901,2180,43.2275949,179,142,learn.researcher-cloud-security-cost-management,student;school-leader;higher-ed-educator;data-scientist,azure;azure-cost-management;azure-firewall;azure-key-vault,beginner,marouill,MaximRouiller
SC-200: Mitigate threats using Microsoft 365 Defender,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-microsoft-365-defender/,8,"8,782","247,410",192.37%,"1,743","3,353","4,088",2180,35.76508009,986,374,learn.wwl.sc-200-mitigate-threats-using-microsoft-365-defender,security-operations-analyst,m365,intermediate,bneeb,wwlpublish
Manage security with Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-security-management/,4,"4,351","56,393",188.11%,"1,161","2,184","2,572",2180,14.85229832,"5,992",44,learn-m365.m365-security-management,administrator,m365;office-365;windows;m365-security-center,intermediate,beccarobins,AlexandraHrt
SC-200: Configure your Microsoft Sentinel environment,https://docs.microsoft.com/en-us/learn/paths/sc-200-configure-azure-sentinel-environment/,5,"7,250","162,860",187.92%,"1,747","3,283","4,062",2180,21.96936552,855,114,learn.wwl.sc-200-configure-your-azure-sentinel-environment,security-operations-analyst,azure;azure-sentinel,intermediate,bneeb,wwlpublish
Prepare the environment for a Microsoft Teams deployment,https://docs.microsoft.com/en-us/learn/paths/prepare-environment-for-microsoft-teams-deployment/,5,"7,897","310,930",185.34%,"2,380","4,411","5,144",2180,46.1545207,388,243,learn.wwl.prepare-environment-for-microsoft-teams-deployment,administrator,m365;office-teams,intermediate,jennyche,wwlpublish
Monitor and optimize operational resources in SQL Server,https://docs.microsoft.com/en-us/learn/paths/monitor-optimize-operational-resources-sql-server/,5,"3,593","93,343",183.93%,"1,033","1,900","2,147",2180,27.76306244,903,190,learn.wwl.monitor-optimize-operational-resources-sql-server,administrator,azure,intermediate,kadelane,wwlpublish
SC-300: Implement Access Management for Apps,https://docs.microsoft.com/en-us/learn/paths/implement-access-management-for-apps/,3,"4,288","100,345",179.09%,"1,406","2,518","3,047",2180,27.78505131,780,127,learn.wwl.implement-access-management-for-apps,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,roberts,wwlpublish
SC-300: Plan and implement an identity governance strategy,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-governance-strategy/,4,"5,154","138,633",178.18%,"1,407","2,507","3,024",2180,31.15463718,750,189,learn.wwl.plan-implement-identity-governance-strategy,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,roberts,wwlpublish
Implement Windows Server IaaS VM networking,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-iaas-virtual-machine-networking/,3,"3,486","61,709",173.42%,222,385,447,2180,15.08852553,306,172,learn.wwl.implement-windows-server-iaas-vm-networking,administrator;solution-architect;technology-manager,azure;azure-cloud-shell;azure-portal;azure-virtual-machines,intermediate,tonyj,wwlpublish
SC-300: Implement an Authentication and Access Management solution,https://docs.microsoft.com/en-us/learn/paths/implement-authentication-access-management-solution/,4,"8,116","166,266",172.87%,"1,581","2,733","3,278",2180,30.7045589,864,191,learn.wwl.implement-authentication-access-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,roberts,wwlpublish
Deploy Teams phone systems with Direct Routing,https://docs.microsoft.com/en-us/learn/paths/m365-teams-direct-routing/,4,"2,086","59,409",162.90%,655,"1,067","1,367",2180,19.23966123,"1,030",126,learn-m365.teams-direct-routing,administrator,office-teams,intermediate,teleary,PhilStollery
Implement a secure environment for a database service,https://docs.microsoft.com/en-us/learn/paths/implement-secure-environment-database-service/,3,"3,702","71,231",155.21%,"1,257","1,951","2,128",2180,24.69736179,"1,495",150,learn.wwl.implement-secure-environment-database-service,data-analyst;data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate,kadelane,wwlpublish
Manage insider risk in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/m365-compliance-insider/,5,"4,471","48,275",152.81%,320,489,544,2180,14.72064415,"1,529",223,learn-m365.m365-compliance-insider,administrator;auditor,m365;office-365,intermediate,beccarobins,ericweisberg
Provision IoT devices at scale by using the Device Provisioning Service,https://docs.microsoft.com/en-us/learn/paths/provision-iot-devices-scale-use-device/,5,37,762,150.00%,6,9,12,2180,16.45495495,1,248,learn.wwl.provision-iot-devices-at-scale-by-using-device,developer,azure;azure-iot-dps;azure-iot-hub;azure-iot-sdk;azure-portal,intermediate,cahowd,wwlpublish
Stay current with Windows devices and Microsoft 365 Apps,https://docs.microsoft.com/en-us/learn/paths/m365-stay-current/,3,"5,834","94,633",148.61%,"1,833","2,724","3,249",2180,17.17623129,"3,048",135,learn-m365.m365-stay-current,administrator,m365;windows;office-365,intermediate,teleary,lizap
Deploy and manage identity infrastructure,https://docs.microsoft.com/en-us/learn/paths/deploy-manage-identity-infrastructure/,6,"8,790","145,818",142.16%,185,263,296,2180,31.49066743,33,367,learn.wwl.deploy-manage-identity-infrastructure,administrator;solution-architect;technology-manager,windows-server,intermediate,tonyj,wwlpublish
Implement a Windows Server hybrid cloud infrastructure,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-hybrid-cloud-infrastructure/,6,"9,504","299,220",139.86%,"1,942","2,716","3,430",2180,52.39267501,"1,017",430,learn.wwl.implement-windows-server-hybrid-cloud-infrastructure,administrator;solution-architect;technology-manager,azure;azure-active-directory;azure-cloud-shell;azure-portal;azure-storage;azure-virtual-machines,intermediate,tonyj,wwlpublish
Troubleshoot Microsoft Teams,https://docs.microsoft.com/en-us/learn/paths/troubleshoot-microsoft-365-teams/,8,"7,849","333,993",139.44%,"2,873","4,006","4,683",2180,34.52887629,708,314,learn.wwl.troubleshoot-microsoft-365-teams,support-engineer,m365;office-teams,advanced,cyncarey,wwlpublish
Develop and deploy custom IoT Edge modules,https://docs.microsoft.com/en-us/learn/paths/develop-deploy-custom-iot-edge-modules/,4,34,438,137.50%,8,11,12,2180,7.008333333,1,188,learn.wwl.develop-deploy-custom-iot-edge-modules,developer,azure;azure-container-instances;azure-container-registry;azure-iot-edge;azure-iot-hub;azure-iot-sdk;azure-portal,intermediate,cahowd,wwlpublish
SC-200: Create queries for Microsoft Sentinel using Kusto Query Language (KQL),https://docs.microsoft.com/en-us/learn/paths/sc-200-utilize-kql-for-azure-sentinel/,4,"6,460","140,775",130.71%,"2,439","3,188","3,987",2180,20.22861197,884,123,learn.wwl.sc-200-utilize-kql-for-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate,bneeb,wwlpublish
Implement IoT device communication by using the Azure IoT SDKs,https://docs.microsoft.com/en-us/learn/paths/implement-iot-device-communication-by-using-azure-iot-sdks/,4,45,693,128.57%,7,9,10,2180,16.29888889,1,167,learn.wwl.implement-iot-device-communication-by-using-azure-iot-sdks,developer,azure;azure-iot-hub;azure-iot-sdk;azure-portal,intermediate,cahowd,wwlpublish
Manage your enterprise deployment with Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-enterprise-deployment-m365/,6,"7,936","136,046",127.72%,"2,262","2,889","3,456",2180,26.42581065,"5,843",157,learn-m365.manage-enterprise-deployment-m365,administrator,m365,beginner,teleary,dahans-msft2
SC-400: Implement Information Protection in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/implement-information-protection/,8,"6,783","194,865",124.03%,"1,968","2,441","2,944",2180,37.3495184,944,299,learn.wwl.implement-information-protection,auditor;ip-admin;risk-practitioner,m365-information-protection,intermediate,bneeb,wwlpublish
Manage Windows Servers and workloads in a hybrid environment,https://docs.microsoft.com/en-us/learn/paths/manage-windows-servers-workloads-hybrid-environment/,6,"6,416","97,460",115.56%,302,349,408,2180,18.92760547,52,241,learn.wwl.manage-windows-servers-workloads-hybrid-environment,administrator;solution-architect;technology-manager,azure;windows-server,intermediate,tonyj,wwlpublish
Automate tasks in SQL Server,https://docs.microsoft.com/en-us/learn/paths/automate-tasks-sql-server/,3,"3,874","68,405",112.02%,"1,714","1,920","2,243",2180,18.04770263,"1,870",129,learn.wwl.automate-tasks-sql-server,data-analyst;data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate,kadelane,wwlpublish
AZ-204: Create Azure App Service web apps,https://docs.microsoft.com/en-us/learn/paths/create-azure-app-service-web-apps/,4,"15,264","350,923",108.84%,"5,044","5,490","6,590",2180,43.50823943,338,108,learn.wwl.create-azure-app-service-web-apps,developer,azure;azure-app-service,intermediate,jeffko,wwlpublish
"Learn the basics of Power BI Desktop, Power Automate, and PowerApps",https://docs.microsoft.com/en-us/learn/paths/power-platform-introduction/,3,"99,626","600,903",105.46%,"1,703","1,796","1,353",2180,15.87035412,"2,593",185,learn.wwl.power-platform-introduction,business-user,power-apps;power-platform,intermediate,ceperezb,wwlpublish
Implement goal management in Dynamics 365 Sales and Customer Service,https://docs.microsoft.com/en-us/learn/paths/apply-goal-management-dynamics-365/,2,"1,862","19,170",103.30%,909,939,"1,037",2180,15.09365378,"1,286",78,learn-bizapps.applying-goal-management,business-user;functional-consultant,dynamics-365;dynamics-sales;dynamics-customer-service,beginner,dbeasley,DaveBeasley
Implement Windows Server high availability,https://docs.microsoft.com/en-us/learn/paths/implement-windows-server-high-availability/,5,"4,022","44,064",100.00%,1,1,3,2180,13.30803497,3,256,learn.wwl.implement-windows-server-high-availability,administrator;solution-architect;technology-manager,windows-server,intermediate,tonyj,wwlpublish
Manage information protection and governance,https://docs.microsoft.com/en-us/learn/paths/m365-compliance-information/,7,"6,848","175,280",99.42%,"1,027","1,021",819,2180,33.76766696,"1,915",322,learn-m365.m365-compliance-information,administrator;auditor,m365,intermediate,beccarobins,ericweisberg
Plan and configure Teams Phone,https://docs.microsoft.com/en-us/learn/paths/plan-configure-teams-voice/,7,"4,054","177,905",94.68%,"1,598","1,513","1,891",2180,47.6276887,150,363,learn.wwl.plan-configure-teams-voice,administrator,m365;office-teams,advanced,dahans,wwlpublish
Plan and implement data platform resources,https://docs.microsoft.com/en-us/learn/paths/plan-implement-data-platform-resources/,4,"4,951","88,173",93.81%,"1,567","1,470","1,476",2180,25.02668148,"1,500",198,learn.wwl.plan-implement-data-platform-resources,data-engineer;database-administrator,azure;azure-sql-database;sql-server,intermediate,jupadrao,wwlpublish
Create server-side programming constructs in Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/create-server-side-programming-azure-cosmos-db-sql-api/,2,28,310,90.00%,10,9,11,2180,8.689285714,1,92,learn.wwl.create-server-side-programming-azure-cosmos-db-sql-api,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Plan and implement Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/plan-implement-azure-cosmos-db-sql-api/,3,39,656,89.47%,19,17,18,2180,15.44487179,3,111,learn.wwl.plan-implement-azure-cosmos-db-sql-api,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Share data with Azure Data Share,https://docs.microsoft.com/en-us/learn/paths/share-data-with-azure-data-share/,2,"1,214","16,532",88.44%,147,130,143,2180,28.55253981,164,82,learn.wwl.sharing-data-with-azure-data-share,data-engineer,azure-data-share,intermediate,chtestao,wwlpublish
Connect to Azure Cosmos DB SQL API with the SDK,https://docs.microsoft.com/en-us/learn/paths/connect-to-azure-cosmos-db-sql-api-sdk/,2,35,406,81.25%,16,13,14,2180,13.30333333,2,89,learn.wwl.connect-to-azure-cosmos-db-sql-api-sdk,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Learn how Microsoft supports using multifactor authentication as part of a cybersecurity solution,https://docs.microsoft.com/en-us/learn/paths/implement-mfa-for-cybersecurity/,3,"7,431","94,453",81.16%,207,168,194,2180,24.96242991,239,137,learn-m365.cybersecurity-multifactor-authentication,administrator;security-operations-analyst;security-engineer,m365;azure,beginner,beccarobins,lizap
Implement and operate an on-premises and hybrid networking infrastructure,https://docs.microsoft.com/en-us/learn/paths/implement-operate-premises-hybrid/,7,"8,547","97,372",79.77%,173,138,150,2180,24.68771499,32,425,learn.wwl.implement-operate-premises-hybrid,administrator;solution-architect;technology-manager,azure;windows-server,intermediate,tonyj,wwlpublish
Monitor and troubleshoot an IoT solution by using Azure Monitor,https://docs.microsoft.com/en-us/learn/paths/monitor-troubleshoot-iot-solution-by-using-azure-monitor/,3,35,425,78.57%,14,11,14,2180,7.154285714,,115,learn.wwl.monitor-troubleshoot-iot-solution-by-using-azure-monitor,developer,azure;azure-iot-hub;azure-monitor;azure-portal;azure-service-health,intermediate,cahowd,wwlpublish
AZ-104: Deploy and manage Azure compute resources,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-compute-resources/,11,"48,221","1,580,875",75.66%,"11,112","8,407","9,560",2180,42.21981053,"7,676",379,learn.az-104-manage-compute-resources,administrator,azure;azure-virtual-machines;azure-clis;azure-resource-manager;azure-vm-scalesets;azure-container-instances;azure-container-registry;azure-kubernetes-service,beginner,cynthist,wwlpublish
Deploy and work with Loss Prevention for Dynamics 365 Fraud Protection,https://docs.microsoft.com/en-us/learn/paths/deploy-work-loss-prevention-fraud-protection/,3,210,"1,693",75.00%,36,27,26,2180,11.24396825,37,154,learn-dynamics.deploy-work-loss-prevention-fraud-protection,functional-consultant;administrator;business-user;developer,dynamics-365;dynamics-fraud-protection;dynamics-commerce,intermediate,cstorega,cstorega
Enhance IoT solution security by using Azure Defender for IoT,https://docs.microsoft.com/en-us/learn/paths/enhance-iot-solution-security-by-using-azure-defender/,4,41,552,75.00%,12,9,10,2180,7.606097561,3,151,learn.wwl.enhance-iot-solution-security-by-using-azure-defender,developer,azure;azure-defender-iot;azure-iot-edge;azure-iot-hub;azure-iot-sdk;azure-portal;azure-security-center,intermediate,cahowd,wwlpublish
AZ-104: Configure and manage virtual networks for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/az-104-manage-virtual-networks/,15,"28,016","1,608,335",73.86%,"11,448","8,455","8,704",2180,64.77284706,"8,322",480,learn.az-104-manage-virtual-networks,administrator,azure;azure-virtual-machines;azure-virtual-network;azure-dns;azure-vpn-gateway;azure-expressroute;azure-application-gateway;azure-load-balancer;azure-bastion;azure-firewall;azure-virtual-desktop,beginner,cynthist,wwlpublish
Create a model-driven application in Power Apps,https://docs.microsoft.com/en-us/learn/paths/create-app-models-business-processes/,4,"20,501","312,494",69.98%,"6,926","4,847","4,584",2180,33.98148789,"7,498",249,learn-bizapps.create-app-models-business-processes,business-user;functional-consultant;maker,power-platform;power-apps,beginner,kschimke,KevSch
Implement device message processing and data analytics,https://docs.microsoft.com/en-us/learn/paths/implement-device-message-processing-data-analytics/,5,60,904,69.23%,13,9,11,2180,17.18916667,3,229,learn.wwl.implement-device-message-processing-data-analytics,developer,azure;azure-blob-storage;azure-clis;azure-iot-hub;azure-iot-sdk;azure-storage;azure-stream-analytics,intermediate,cahowd,wwlpublish
Connect your services together,https://docs.microsoft.com/en-us/learn/paths/connect-your-services-together/,5,"15,530","393,459",68.88%,"6,561","4,519","4,977",2180,43.68133934,"7,036",240,learn.connect-your-services-together,developer,azure;azure-service-bus;azure-event-grid;azure-event-hubs;azure-storage,beginner;intermediate,adsteven,adrianstevens
Get started with managing Microsoft Teams,https://docs.microsoft.com/en-us/learn/paths/get-started-managing-microsoft-teams/,4,"19,739","467,708",68.39%,"8,393","5,740","6,756",2180,41.17502238,"1,098",206,learn.wwl.get-started-managing-microsoft-teams,administrator,m365;office-teams,intermediate,jennyche,wwlpublish
"Learn how Microsoft supports data discovery, classification, and protection as part of a cybersecurity solution",https://docs.microsoft.com/en-us/learn/paths/data-identification-cybersecurity/,9,"7,984","130,544",66.81%,235,157,199,2180,22.1627171,217,368,learn-m365.cybersecurity-data,administrator;security-operations-analyst;security-engineer,m365;azure,beginner,beccarobins,lizap
Create Azure IoT services in the Azure portal,https://docs.microsoft.com/en-us/learn/paths/create-azure-iot-services-azure-portal/,4,80,781,66.67%,15,10,11,2180,9.692083333,1,148,learn.wwl.create-azure-iot-services-azure-portal,developer,azure;azure-iot;azure-iot-dps;azure-iot-hub;azure-portal,intermediate,cahowd,wwlpublish
Deploy Azure IoT Edge devices and modules,https://docs.microsoft.com/en-us/learn/paths/deploy-azure-iot-edge-devices-modules/,5,79,738,66.67%,3,2,2,2180,16.0314346,2,222,learn.wwl.deploy-azure-iot-edge-devices-modules,developer,azure;azure-clis;azure-iot-edge;azure-iot-hub;azure-iot-sdk;azure-portal;azure-stream-analytics,intermediate,cahowd,wwlpublish
Manage IoT devices by using IoT Hub and apps,https://docs.microsoft.com/en-us/learn/paths/use-iot-hub-apps-manage-iot-devices/,5,31,477,66.67%,3,2,2,2180,15.51451613,1,206,learn.wwl.manage-iot-devices-by-using-iot-hub-apps,developer,azure;azure-clis;azure-iot-hub;azure-iot-sdk;azure-portal,intermediate,cahowd,wwlpublish
Manage identities and governance for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-identities-governance/,14,"51,031","591,460",65.29%,726,474,490,2180,27.09896893,997,496,learn.azure-admin-manage-identities-governance,administrator,azure;azure-active-directory;azure-rbac;azure-resource-manager;azure-cost-management,beginner,cwatson,cwatson-cat
Implement resource management security in Azure,https://docs.microsoft.com/en-us/learn/paths/implement-resource-mgmt-security/,6,"52,031","706,182",65.24%,"1,824","1,190","1,237",2180,38.59555265,"9,862",207,learn.security.implement-resource-mgmt-security,solution-architect;administrator;security-engineer,azure;azure-clis;azure-portal;azure-resource-manager;azure-blueprints;azure-policy;azure-rbac,beginner;intermediate,adsteven,adrianstevens
Plan and implement identity synchronization,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-synchronization/,5,"4,443","56,836",64.91%,815,529,584,2180,18.91607773,243,146,learn.wwl.plan-implement-identity-synchronization,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Optimize query performance in SQL Server,https://docs.microsoft.com/en-us/learn/paths/optimize-query-performance-sql-server/,3,"5,409","69,008",63.79%,"3,046","1,943","2,176",2180,21.39842238,"3,098",159,learn.wwl.optimize-query-performance-sql-server,data-analyst;data-engineer;database-administrator;developer,azure-sql-database;sql-server,intermediate,kadelane,wwlpublish
Bring AI to business users in your organization,https://docs.microsoft.com/en-us/learn/paths/bring-ai-to-business-users-your-organization/,3,"72,414","462,207",63.65%,498,317,336,2180,21.1983767,902,113,learn.wwl.bring-ai-to-business-users-your-organization,business-user,m365;power-platform,beginner,japerena,wwlpublish
Access and manage data with the Azure Cosmos DB SQL API SDKs,https://docs.microsoft.com/en-us/learn/paths/access-manage-data-azure-cosmos-db-sql-api-sdks/,3,42,743,63.64%,22,14,15,2180,15.1,1,115,learn.wwl.access-manage-data-azure-cosmos-db-sql-api-sdks,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
