Order,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
308,learn.wwl.sc-200-create-detections-perform-investigations-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-create-detections-perform-investigations-azure-sentinel/,5,sc-200,SC-200 part 7: Create detections and perform investigations using Azure Sentinel,5.0,"2,330","20,363",23.69%,650,154,175,2559,29.59609442,520,262.0,learn.wwl.sc-200-create-detections-perform-investigations-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate,9,2021
309,learn.wwl.sc-200-connect-logs-to-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-connect-logs-to-azure-sentinel/,7,sc-200,SC-200 part 6: Connect logs to Azure Sentinel,7.0,"1,001","14,833",21.00%,643,135,163,2559,27.09062604,499,164.0,learn.wwl.sc-200-connect-logs-to-azure-sentinel,security-operations-analyst,azure;azure-log-analytics;azure-sentinel,intermediate,9,2021
310,learn.wwl.sc-200-configure-your-azure-sentinel-environment,https://docs.microsoft.com/en-us/learn/paths/sc-200-configure-azure-sentinel-environment/,5,sc-200,SC-200 part 5: Configure your Azure Sentinel environment,5.0,"3,398","31,083",19.69%,"1,168",230,279,2559,20.491602899999997,654,114.0,learn.wwl.sc-200-configure-your-azure-sentinel-environment,security-operations-analyst,azure;azure-sentinel,intermediate,9,2021
311,learn.wwl.plan-implement-identity-governance-strategy,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-governance-strategy/,4,sc-300,SC-300 part 4: Plan and implement an identity governance strategy,4.0,"1,493","13,608",12.70%,"1,087",138,162,2559,25.32808663,603,189.0,learn.wwl.plan-implement-identity-governance-strategy,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,9,2021
312,learn.wwl.implement-identity-management-solution,https://docs.microsoft.com/en-us/learn/paths/implement-identity-management-solution/,4,sc-300,SC-300 part 1: Implement an identity management solution,4.0,"5,152","47,900",6.69%,"3,754",251,294,2559,33.86664726,"1,147",218.0,learn.wwl.implement-identity-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,9,2021
313,learn.wwl.implement-authentication-access-management-solution,https://docs.microsoft.com/en-us/learn/paths/implement-authentication-access-management-solution/,4,sc-300,SC-300 part 2: Implement an Authentication and Access Management solution,4.0,"4,400","36,133",13.42%,"1,356",182,219,2559,19.72722727,702,191.0,learn.wwl.implement-authentication-access-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,9,2021
314,learn.wwl.implement-access-management-for-apps,https://docs.microsoft.com/en-us/learn/paths/implement-access-management-for-apps/,3,sc-300,SC-300 part 3: Implement Access Management for Apps,3.0,"1,273","11,229",12.89%,"1,071",138,166,2559,28.68923802,634,127.0,learn.wwl.implement-access-management-for-apps,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,9,2021
315,learn.wwl.implement-information-protection,https://docs.microsoft.com/en-us/learn/paths/implement-information-protection/,8,sc-400,SC-400 part 1: Implement Information Protection in Microsoft 365,8.0,"3,322","32,430",7.94%,"1,852",147,161,2559,29.24442605,770,299.0,learn.wwl.implement-information-protection,auditor;ip-admin;risk-practitioner,m365-information-protection,intermediate,9,2021
316,learn.wwl.implement-information-governance,https://docs.microsoft.com/en-us/learn/paths/implement-information-governance/,3,sc-400,SC-400 part 3: Implement Information Governance in Microsoft 365,3.0,943,"7,835",14.93%,643,96,109,2559,27.75850124,474,157.0,learn.wwl.implement-information-governance,auditor;ip-admin,m365;m365-information-protection,intermediate,9,2021
317,learn.wwl.implement-data-loss-prevention,https://docs.microsoft.com/en-us/learn/paths/implement-data-loss-prevention/,3,sc-400,SC-400 part 2: Implement Data Loss Prevention,3.0,"1,171","9,106",15.40%,721,111,110,2559,21.61394819,503,118.0,learn.wwl.implement-data-loss-prevention,auditor;ip-admin;risk-practitioner,m365;m365-information-protection,intermediate,9,2021
318,learn.wwl.describe-concepts-of-security-compliance-identity,https://docs.microsoft.com/en-us/learn/paths/describe-concepts-of-security-compliance-identity/,2,sc-900,"Security, Compliance, and Identity Fundamentals (SC-900) - Describe the concepts of security, compliance, and identity",2.0,"12,123","122,635",25.44%,"9,326","2,373","2,624",2559,27.6939234,"2,708",45.0,learn.wwl.describe-concepts-of-security-compliance-identity,business-user;student,azure;m365,beginner,9,2021
319,learn.wwl.describe-capabilities-of-microsoft-security-solutions,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-security-solutions/,6,sc-900,"Security, Compliance, and Identity Fundamentals (SC-900) - Describe the capabilities of Microsoft security solutions",6.0,"5,041","107,399",27.35%,"3,729","1,020","1,177",2559,55.59020036,"1,418",136.0,learn.wwl.describe-capabilities-of-microsoft-security-solutions,business-user;student,azure;m365,beginner,9,2021
320,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-identity-access/,4,sc-900,"Security, Compliance, and Identity Fundamentals (SC-900) - Describe the capabilities of Microsoft Identity and access management solutions",4.0,"5,457","95,290",32.52%,"4,246","1,381","1,604",2559,48.47232912,"1,432",88.0,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,business-user;student,azure-active-directory,beginner,9,2021
321,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-compliance-solutions/,5,sc-900,"Security, Compliance, and Identity Fundamentals (SC-900)  - Describe the capabilities of Microsoft compliance solutions",5.0,"7,056","105,748",28.18%,"3,261",919,"1,038",2559,33.30306359,"1,319",147.0,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,business-user;student,azure;m365,beginner,9,2021
