ID,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
285,learn-dynamics.manage-permissions-and-administration-for-common-data-service,https://docs.microsoft.com/en-us/learn/paths/manage-permissions-administration-common-data-service/,2,pl-100,Manage permissions and administration for Microsoft Dataverse,2,"3,476","30,986",24.44%,"2,635",644,603,1757,28.01949079,"2,248",117,learn-dynamics.manage-permissions-and-administration-for-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,intermediate,10,2021
286,learn-dynamics.manage-permissions-and-administration-for-common-data-service,https://docs.microsoft.com/en-us/learn/paths/manage-permissions-administration-common-data-service/,2,pl-200,Manage permissions and administration for Microsoft Dataverse,2,"3,476","30,986",24.44%,"2,635",644,603,1757,28.01949079,"2,248",117,learn-dynamics.manage-permissions-and-administration-for-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,intermediate,10,2021
287,learn-dynamics.get-started-using-common-data-service,https://docs.microsoft.com/en-us/learn/paths/get-started-cds/,7,pl-100,Get started using Microsoft Dataverse,7,"23,342","255,154",10.78%,"8,416",907,860,1757,31.81875446,"5,234",325,learn-dynamics.get-started-using-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,beginner,10,2021
288,learn-dynamics.get-started-using-common-data-service,https://docs.microsoft.com/en-us/learn/paths/get-started-cds/,7,pl-200,Get started using Microsoft Dataverse,7,"23,342","255,154",10.78%,"8,416",907,860,1757,31.81875446,"5,234",325,learn-dynamics.get-started-using-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,beginner,10,2021
289,learn-bizapps.work-power-platform-teams,https://docs.microsoft.com/en-us/learn/paths/work-power-platform-teams/,5,pl-100,"Create apps, chatbots, and flows with Microsoft Dataverse and Teams",5,"2,414","22,136",17.15%,"1,079",185,195,1757,20.67676056,481,124,learn-bizapps.work-power-platform-teams,business-user;maker,power-platform;power-apps;power-automate;power-virtual-agents;office-teams;common-data-service,beginner,10,2021
290,learn-bizapps.understand-advanced-topics,https://docs.microsoft.com/en-us/learn/paths/understand-advanced-topics/,4,pl-100,Master advanced techniques for Power Apps canvas apps,4,"2,377","23,540",20.43%,"1,547",316,318,1757,28.5307811,"2,654",184,learn-bizapps.understand-advanced-topics,functional-consultant;maker,power-platform;power-apps,advanced,10,2021
291,learn-bizapps.ui-controls-canvas-app-powerapps,https://docs.microsoft.com/en-us/learn/paths/ui-controls-canvas-app-powerapps/,4,pl-100,Use the UI and controls in a canvas app in Power Apps,4,"2,636","28,132",23.43%,"1,413",331,349,1757,23.56385938,"2,689",178,learn-bizapps.ui-controls-canvas-app-powerapps,functional-consultant;maker,power-platform;power-apps,intermediate,10,2021
292,learn-bizapps.create-business-process-flow,https://docs.microsoft.com/en-us/learn/paths/create-business-process-flow/,4,pl-100,Create a business process flow in Power Automate,4,"5,188","40,330",12.45%,"3,462",431,461,1757,21.48951748,"3,957",184,learn-bizapps.create-business-process-flow,maker;functional-consultant;business-user,power-automate;power-platform,intermediate,10,2021
293,learn-bizapps.create-business-process-flow,https://docs.microsoft.com/en-us/learn/paths/create-business-process-flow/,4,pl-200,Create a business process flow in Power Automate,4,"5,188","40,330",12.45%,"3,462",431,461,1757,21.48951748,"3,957",184,learn-bizapps.create-business-process-flow,maker;functional-consultant;business-user,power-automate;power-platform,intermediate,10,2021
294,learn-bizapps.bring-ai,https://docs.microsoft.com/en-us/learn/paths/bring-ai/,2,pl-100,Bring AI to your business with AI Builder,2,"4,404","22,131",17.85%,"2,370",423,477,1757,10.06285952,"2,066",47,learn-bizapps.bring-ai,maker;business-user,ai-builder,beginner,10,2021
295,learn-bizapps.bring-ai,https://docs.microsoft.com/en-us/learn/paths/bring-ai/,2,pl-200,Bring AI to your business with AI Builder,2,"4,404","22,131",17.85%,"2,370",423,477,1757,10.06285952,"2,066",47,learn-bizapps.bring-ai,maker;business-user,ai-builder,beginner,10,2021
296,learn-bizapps.best-practices-environments,https://docs.microsoft.com/en-us/learn/paths/best-practices-environments/,8,pl-100,Use best practices to secure and govern Microsoft Power Platform environments,8,"4,674","47,177",9.10%,"3,166",288,262,1757,28.57440807,"2,322",386,learn-bizapps.best-practices-environments,administrator;functional-consultant,power-automate;power-platform;power-apps,intermediate,10,2021
297,learn-bizapps.best-practices-environments,https://docs.microsoft.com/en-us/learn/paths/best-practices-environments/,8,pl-200,Use best practices to secure and govern Microsoft Power Platform environments,8,"4,674","47,177",9.10%,"3,166",288,262,1757,28.57440807,"2,322",386,learn-bizapps.best-practices-environments,administrator;functional-consultant,power-automate;power-platform;power-apps,intermediate,10,2021
298,learn-dynamics.create-relationships-business-rules-calculations-and-rollups-in-common-data-service,https://docs.microsoft.com/en-us/learn/paths/create-relationships-common-data-service/,3,pl-200,"Create relationships, business rules, calculations, and rollups in Microsoft Dataverse",3,"1,904","15,804",19.66%,"1,129",222,249,1757,17.25129552,"1,608",141,learn-dynamics.create-relationships-business-rules-calculations-and-rollups-in-common-data-service,functional-consultant,dynamics-365;power-platform;common-data-service;power-apps,intermediate,10,2021
299,learn-bizapps.work-power-virtual-agents,https://docs.microsoft.com/en-us/learn/paths/work-power-virtual-agents/,4,pl-200,Create bots with Power Virtual Agents,4,"2,119","21,033",13.25%,"1,608",213,218,1757,29.78185465,"1,569",151,learn-bizapps.work-power-virtual-agents,maker;administrator,power-platform;power-virtual-agents,intermediate,10,2021
300,learn-bizapps.improve-business-performance-ai-builder,https://docs.microsoft.com/en-us/learn/paths/improve-business-performance-ai-builder/,9,pl-200,Improve business performance with AI Builder,9,"3,279","29,896",19.71%,842,166,181,1757,20.327239,"1,103",416,learn-bizapps.improve-business-performance-ai-builder,maker;business-user,ai-builder,beginner,10,2021
301,learn-bizapps.get-started-power-automate-buttons,https://docs.microsoft.com/en-us/learn/paths/get-started-power-automate-buttons/,5,pl-200,Get started with Power Automate buttons,5,"2,882","27,401",17.93%,"1,467",263,268,1757,16.72490169,"1,802",268,learn-bizapps.get-started-power-automate-buttons,functional-consultant;maker;business-user,power-platform;power-automate,intermediate,10,2021
302,learn-dynamics.use-power-apps-component-framework,https://docs.microsoft.com/en-us/learn/paths/use-power-apps-component-framework/,3,pl-400,Create components with Power Apps Component Framework,3,"2,460","15,573",9.33%,"1,619",151,152,1757,18.74355014,"1,241",156,learn-dynamics.use-power-apps-component-framework,developer,dynamics-365;power-platform;power-apps,advanced,10,2021
303,learn-dynamics.integrate-power-platform,https://docs.microsoft.com/en-us/learn/paths/integrate-power-platform/,2,pl-400,Integrate with Microsoft Power Platform and Microsoft Dataverse,2,"1,279","8,530",14.00%,914,128,145,1757,23.88471462,"1,071",246,learn-dynamics.integrate-power-platform,developer,power-apps;power-platform,advanced,10,2021
304,learn-bizapps.administer-power-apps-portals,https://docs.microsoft.com/en-us/learn/paths/administer-portals/,4,pl-400,Administer Power Apps portals,4,"1,766","9,572",14.08%,774,109,120,1757,15.22283881,677,77,learn-bizapps.administer-power-apps-portals,maker;functional-consultant;administrator;developer;solution-architect,power-platform;power-apps,advanced,10,2021
305,learn-bizapps.solution-architect-design,https://docs.microsoft.com/en-us/learn/paths/solution-architect-data/,12,pl-600,Solution Architect: Design Microsoft Power Platform solutions,12,"2,634","25,011",4.12%,"1,553",64,70,1757,36.64491268,591,426,learn-bizapps.solution-architect-design,solution-architect,power-platform;dynamics-365;power-apps;power-automate;power-virtual-agents,advanced,10,2021
306,learn-bizapps.wwl.power-plat-fundamentals,https://docs.microsoft.com/en-us/learn/paths/power-plat-fundamentals/,12,pl-900,Microsoft Power Platform Fundamentals,12,"106,826","1,127,004",6.05%,"33,569","2,030","2,232",1757,32.56882984,"28,538",530,learn-bizapps.wwl.power-plat-fundamentals,business-user,dynamics-365;dynamics-finance-operations;power-platform,beginner,10,2021
307,learn.wwl.sc-200-utilize-kql-for-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-utilize-kql-for-azure-sentinel/,4,sc-200,SC-200 part 4: Create queries for Azure Sentinel using Kusto Query Language (KQL),4,"2,788","22,586",9.75%,"1,970",192,225,1757,16.57064802,781,123,learn.wwl.sc-200-utilize-kql-for-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate,10,2021
308,learn.wwl.sc-200-perform-threat-hunting-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-perform-threat-hunting-azure-sentinel/,3,sc-200,SC-200 part 8: Perform threat hunting in Azure Sentinel,3,988,"7,601",20.55%,657,135,158,1757,17.10015182,561,116,learn.wwl.sc-200-perform-threat-hunting-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate,10,2021
309,learn.wwl.sc-200-mitigate-threats-using-microsoft-defender-for-endpoint,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-microsoft-defender-for-endpoint/,10,sc-200,SC-200 part 1: Mitigate threats using Microsoft Defender for Endpoint,10,"7,042","80,597",6.84%,"4,617",316,364,1757,32.41964167,"1,692",406,learn.wwl.sc-200-mitigate-threats-using-microsoft-defender-for-endpoint,security-operations-analyst,windows,intermediate,10,2021
310,learn.wwl.sc-200-mitigate-threats-using-microsoft-365-defender,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-microsoft-365-defender/,8,sc-200,SC-200 part 2: Mitigate threats using Microsoft 365 Defender,8,"4,905","60,611",24.45%,"1,313",321,361,1757,29.36585457,871,374,learn.wwl.sc-200-mitigate-threats-using-microsoft-365-defender,security-operations-analyst,m365,intermediate,10,2021
311,learn.wwl.sc-200-mitigate-threats-using-azure-defender,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-azure-defender/,5,sc-200,SC-200 part 3: Mitigate threats using Azure Defender,5,"1,249","16,326",20.02%,964,193,187,1757,36.15060048,728,242,learn.wwl.sc-200-mitigate-threats-using-azure-defender,security-operations-analyst,azure;azure-security-center,intermediate,10,2021
312,learn.wwl.sc-200-create-detections-perform-investigations-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-create-detections-perform-investigations-azure-sentinel/,5,sc-200,SC-200 part 7: Create detections and perform investigations using Azure Sentinel,5,"1,840","19,081",24.63%,609,150,176,1757,27.79815217,580,262,learn.wwl.sc-200-create-detections-perform-investigations-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate,10,2021
313,learn.wwl.sc-200-connect-logs-to-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-connect-logs-to-azure-sentinel/,7,sc-200,SC-200 part 6: Connect logs to Azure Sentinel,7,"1,007","14,997",22.87%,656,150,177,1757,22.88154585,558,164,learn.wwl.sc-200-connect-logs-to-azure-sentinel,security-operations-analyst,azure;azure-log-analytics;azure-sentinel,intermediate,10,2021
314,learn.wwl.sc-200-configure-your-azure-sentinel-environment,https://docs.microsoft.com/en-us/learn/paths/sc-200-configure-azure-sentinel-environment/,5,sc-200,SC-200 part 5: Configure your Azure Sentinel environment,5,"3,270","30,654",21.98%,"1,142",251,279,1757,21.16648828,733,114,learn.wwl.sc-200-configure-your-azure-sentinel-environment,security-operations-analyst,azure;azure-sentinel,intermediate,10,2021
315,learn.wwl.plan-implement-identity-governance-strategy,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-governance-strategy/,4,sc-300,SC-300 part 4: Plan and implement an identity governance strategy,4,"1,789","19,345",13.86%,"1,111",154,176,1757,32.36124464,663,189,learn.wwl.plan-implement-identity-governance-strategy,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,10,2021
316,learn.wwl.implement-identity-management-solution,https://docs.microsoft.com/en-us/learn/paths/implement-identity-management-solution/,4,sc-300,SC-300 part 1: Implement an identity management solution,4,"7,256","77,217",6.82%,"3,755",256,299,1757,38.88427738,"1,253",218,learn.wwl.implement-identity-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,10,2021
317,learn.wwl.implement-authentication-access-management-solution,https://docs.microsoft.com/en-us/learn/paths/implement-authentication-access-management-solution/,4,sc-300,SC-300 part 2: Implement an Authentication and Access Management solution,4,"4,491","42,187",20.21%,"1,361",275,328,1757,24.60197432,773,191,learn.wwl.implement-authentication-access-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,10,2021
318,learn.wwl.implement-access-management-for-apps,https://docs.microsoft.com/en-us/learn/paths/implement-access-management-for-apps/,3,sc-300,SC-300 part 3: Implement Access Management for Apps,3,"1,296","12,358",14.86%,"1,070",159,184,1757,30.21274434,692,127,learn.wwl.implement-access-management-for-apps,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate,10,2021
319,learn.wwl.implement-information-protection,https://docs.microsoft.com/en-us/learn/paths/implement-information-protection/,8,sc-400,SC-400 part 1: Implement Information Protection in Microsoft 365,8,"3,262","32,347",6.91%,"1,824",126,135,1757,29.70375026,844,299,learn.wwl.implement-information-protection,auditor;ip-admin;risk-practitioner,m365-information-protection,intermediate,10,2021
320,learn.wwl.implement-information-governance,https://docs.microsoft.com/en-us/learn/paths/implement-information-governance/,3,sc-400,SC-400 part 3: Implement Information Governance in Microsoft 365,3,"1,041","10,315",31.65%,613,194,191,1757,24.46544989,511,158,learn.wwl.implement-information-governance,auditor;ip-admin,m365;m365-information-protection,intermediate,10,2021
321,learn.wwl.implement-data-loss-prevention,https://docs.microsoft.com/en-us/learn/paths/implement-data-loss-prevention/,3,sc-400,SC-400 part 2: Implement Data Loss Prevention,3,"1,284","11,359",17.09%,673,115,112,1757,22.54308152,549,118,learn.wwl.implement-data-loss-prevention,auditor;ip-admin;risk-practitioner,m365;m365-information-protection,intermediate,10,2021
322,learn.wwl.describe-concepts-of-security-compliance-identity,https://docs.microsoft.com/en-us/learn/paths/describe-concepts-of-security-compliance-identity/,2,sc-900,"Microsoft Security, Compliance, and Identity Fundamentals: Describe the concepts of security, compliance, and identity",2,"13,965","137,531",22.54%,"11,367","2,562","2,775",1757,26.90667025,"3,242",45,learn.wwl.describe-concepts-of-security-compliance-identity,business-user;student,azure;m365,beginner,10,2021
323,learn.wwl.describe-capabilities-of-microsoft-security-solutions,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-security-solutions/,6,sc-900,"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft security solutions",6,"5,906","126,658",29.54%,"4,255","1,257","1,394",1757,52.56524156,"1,634",136,learn.wwl.describe-capabilities-of-microsoft-security-solutions,business-user;student,azure;m365,beginner,10,2021
324,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-identity-access/,4,sc-900,"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft Identity and access management solutions",4,"6,442","111,849",31.87%,"5,005","1,595","1,792",1757,46.05420936,"1,634",88,learn.wwl.describe-capabilities-of-microsoft-identity-access-management-solutions,business-user;student,azure-active-directory,beginner,10,2021
325,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-compliance-solutions/,5,sc-900,"Microsoft Security, Compliance, and Identity Fundamentals: Describe the capabilities of Microsoft compliance solutions",5,"7,159","116,376",31.50%,"3,527","1,111","1,229",1757,34.57568795,"1,489",147,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,business-user;student,azure;m365,beginner,10,2021
