*Time stamp		count-src,src-ip		count-dest,dest-ip		count-anyport-src,ip		count-anyport-dest,ip
1998-06-2410:25:25	4	"172.016.114.148"	8	"192.168.001.010"	9	"197.182.091.233"	8	"192.168.001.010"
1998-06-2414:41:08	1	"195.073.151.050"	2	"205.214.059.221"	5	"195.073.151.050"	2	"205.214.059.221"
1998-06-2413:29:38	1	"172.016.116.194"	2	"135.008.060.182"	4	"172.016.112.149"	2	"135.008.060.182"
1998-06-2418:34:10	1	"172.016.116.201"	4	"192.168.001.010"	4	"172.016.116.044"	4	"192.168.001.010"
1998-06-2414:35:56	1	"194.027.251.021"	3	"136.149.142.178"	4	"172.016.117.132"	3	"136.149.142.178"
1998-06-2410:43:39	4	"172.016.114.148"	1	"172.016.114.148"	4	"197.218.177.069"	5	"172.016.112.149"
1998-06-2408:35:08	1	"172.016.115.234"	24	"209.001.224.012"	27	"172.016.115.234"	24	"209.001.224.012"
1998-06-2415:46:57	2	"172.016.116.044"	12	"192.168.001.010"	12	"172.016.116.044"	12	"192.168.001.010"
1998-06-2412:40:36	3	"197.218.177.069"	2	"134.205.165.120"	3	"197.218.177.069"	3	"172.016.112.149"
1998-06-2410:03:13	1	"172.016.117.103"	2	"198.233.040.006"	2	"172.016.117.103"	2	"198.233.040.006"
1998-06-2423:39:41	1	"172.016.115.005"	1	"207.201.138.189"	2	"172.016.115.005"	1	"207.201.138.189"
1998-06-2414:27:47	1	"172.016.117.111"	5	"195.115.218.108"	4	"172.016.114.168"	5	"195.115.218.108"
1998-06-2409:35:55	6	"197.218.177.069"	2	"196.227.033.189"	6	"197.218.177.069"	6	"172.016.112.207"
1998-06-2417:13:34	2	"192.168.001.010"	9	"192.168.001.010"	9	"172.016.116.044"	9	"192.168.001.010"
1998-06-2415:36:45	1	"197.218.177.069"	3	"199.104.078.003"	7	"135.013.216.191"	3	"199.104.078.003"
1998-06-2414:04:04	1	"172.016.117.132"	4	"207.025.071.023"	6	"172.016.117.132"	4	"207.025.071.023"
1998-06-2408:47:16	1	"172.016.113.204"	2	"208.140.130.007"	4	"172.016.113.204"	2	"208.140.130.007"
1998-06-2423:11:40	1	"172.016.115.087"	2	"205.181.112.065"	3	"172.016.115.005"	2	"205.181.112.065"
1998-06-2411:04:38	1	"172.016.117.103"	1	"205.181.112.122"	1	"197.218.177.069"	1	"205.181.112.122"
1998-06-2410:36:58	1	"197.218.177.069"	1	"199.095.074.092"	3	"197.218.177.069"	2	"172.016.114.168"
1998-06-2413:57:56	1	"172.016.115.005"	1	"192.168.001.010"	4	"172.016.114.169"	1	"209.001.112.251"
1998-06-2415:14:16	1	"172.016.115.005"	4	"207.025.071.027"	4	"194.027.251.021"	4	"207.025.071.027"
1998-06-2411:13:01	1	"195.115.218.108"	2	"199.183.022.002"	2	"195.115.218.108"	2	"199.183.022.002"
1998-06-2413:18:21	1	"172.016.114.169"	2	"199.008.100.002"	5	"172.016.114.169"	2	"209.100.054.065"
1998-06-2410:46:30	1	"194.007.248.153"	1	"152.163.210.008"	2	"194.007.248.153"	1	"207.046.130.139"
1998-06-2416:21:35	2	"172.016.116.044"	11	"192.168.001.010"	11	"172.016.116.044"	11	"192.168.001.010"
1998-06-2412:25:59	2	"197.218.177.069"	2	"172.016.114.169"	7	"172.016.114.169"	2	"197.218.177.069"
1998-06-2415:52:03	2	"172.016.116.044"	11	"192.168.001.010"	11	"172.016.116.044"	11	"192.168.001.010"
1998-06-2415:31:20	1	"172.016.117.111"	3	"135.013.216.191"	2	"194.007.248.153"	3	"135.013.216.191"
1998-06-2417:23:40	2	"172.016.116.044"	2	"205.181.112.065"	3	"172.016.116.201"	2	"205.181.112.065"
1998-06-2409:15:19	1	"172.016.114.168"	1	"172.016.113.105"	3	"172.016.116.194"	1	"208.215.239.071"
1998-06-2417:06:31	1	"192.168.001.010"	3	"192.168.001.010"	3	"172.016.117.111"	3	"192.168.001.010"
1998-06-2411:18:03	1	"172.016.115.087"	1	"196.037.075.158"	2	"172.016.115.087"	1	"207.229.186.060"
1998-06-2413:21:11	1	"196.037.075.158"	2	"131.084.001.031"	2	"172.016.115.005"	2	"195.073.151.050"
1998-06-2413:56:07	1	"195.115.218.108"	4	"194.027.251.021"	8	"172.016.114.168"	5	"194.027.251.021"
1998-06-2412:04:16	10	"197.218.177.069"	2	"197.218.177.069"	11	"197.218.177.069"	6	"197.218.177.069"
1998-06-2413:09:25	1	"172.016.113.204"	3	"207.025.071.178"	5	"172.016.113.204"	3	"207.025.071.178"
1998-06-2417:48:52	2	"192.168.001.010"	3	"192.168.001.010"	3	"172.016.116.044"	3	"192.168.001.010"
1998-06-2409:49:40	1	"172.016.114.169"	2	"128.169.092.017"	9	"172.016.112.149"	2	"135.013.216.191"
1998-06-2411:47:06	1	"172.016.114.169"	2	"209.166.168.020"	2	"172.016.114.169"	2	"209.166.168.020"
1998-06-2410:28:56	3	"197.218.177.069"	1	"172.016.113.084"	3	"197.218.177.069"	3	"172.016.113.084"
1998-06-2411:57:58	1	"172.016.117.052"	2	"198.011.057.054"	3	"172.016.117.052"	2	"198.011.057.054"
1998-06-2409:55:31	1	"172.016.117.103"	1	"209.073.064.121"	2	"172.016.117.103"	1	"209.073.064.121"
1998-06-2415:24:59	23	"197.218.177.069"	2	"172.016.114.168"	23	"197.218.177.069"	23	"172.016.114.169"
1998-06-2414:56:35	13	"197.218.177.069"	3	"192.168.001.010"	15	"197.218.177.069"	14	"172.016.112.207"
1998-06-2410:13:12	1	"196.037.075.158"	3	"192.168.001.020"	10	"196.037.075.158"	3	"192.168.001.020"
1998-06-2409:10:01	1	"172.016.114.169"	4	"196.037.075.158"	2	"197.218.177.069"	4	"196.037.075.158"
1998-06-2409:36:29	6	"197.218.177.069"	1	"172.016.112.207"	6	"197.218.177.069"	6	"172.016.112.207"
1998-06-2412:45:00	1	"172.016.113.105"	2	"131.084.001.031"	5	"172.016.113.105"	3	"135.013.216.191"
1998-06-2408:20:40	1	"172.016.113.204"	18	"038.165.144.107"	19	"172.016.113.204"	18	"038.165.144.107"
1998-06-2409:03:35	1	"196.037.075.158"	2	"172.016.112.207"	6	"196.037.075.158"	2	"205.181.112.065"
1998-06-2414:01:42	1	"196.227.033.189"	2	"207.077.090.013"	3	"196.227.033.189"	2	"209.067.003.082"
1998-06-2412:51:21	1	"172.016.114.169"	3	"207.077.090.013"	5	"172.016.114.168"	3	"207.077.090.013"
1998-06-2413:39:48	1	"172.016.115.005"	2	"038.176.011.051"	4	"172.016.112.207"	2	"196.037.075.158"
1998-06-2412:50:42	1	"172.016.114.168"	2	"207.077.090.013"	4	"172.016.113.105"	2	"207.077.090.013"
1998-06-2408:45:28	1	"172.016.114.207"	26	"209.116.084.055"	34	"172.016.113.204"	26	"209.116.084.055"
1998-06-2417:55:29	4	"192.168.001.010"	5	"192.168.001.010"	5	"172.016.116.044"	5	"192.168.001.010"
1998-06-2417:43:10	2	"192.168.001.010"	2	"209.001.112.251"	4	"172.016.116.201"	2	"209.001.112.251"
1998-06-2418:08:25	3	"192.168.001.010"	6	"192.168.001.010"	6	"192.168.001.010"	6	"192.168.001.010"
1998-06-2408:48:01	1	"172.016.117.111"	15	"208.140.130.007"	18	"172.016.113.204"	15	"208.140.130.007"
1998-06-2417:37:21	6	"172.016.114.148"	9	"192.168.001.010"	8	"172.016.116.044"	9	"192.168.001.010"
1998-06-2417:18:40	2	"192.168.001.010"	3	"172.016.114.050"	2	"194.007.248.153"	3	"172.016.114.050"
1998-06-2414:20:15	3	"197.218.177.069"	2	"208.194.115.053"	3	"197.218.177.069"	4	"172.016.112.194"
1998-06-2413:37:06	1	"196.037.075.158"	2	"205.169.236.247"	11	"196.037.075.158"	2	"205.169.236.247"
1998-06-2416:47:31	2	"172.016.116.044"	16	"192.168.001.010"	13	"172.016.116.044"	16	"192.168.001.010"
1998-06-2413:07:37	1	"172.016.114.169"	2	"129.063.152.003"	7	"172.016.114.169"	2	"197.218.177.069"
1998-06-2412:52:15	2	"172.016.114.148"	2	"194.098.007.131"	5	"172.016.112.194"	2	"195.115.218.108"
1998-06-2416:14:40	2	"172.016.116.044"	11	"192.168.001.010"	11	"172.016.116.044"	11	"192.168.001.010"
1998-06-2413:50:47	1	"195.115.218.108"	2	"206.132.025.071"	4	"172.016.114.168"	4	"196.227.033.189"
1998-06-2416:04:20	2	"172.016.116.044"	4	"192.168.001.010"	4	"172.016.116.044"	4	"192.168.001.010"
1998-06-2410:14:23	15	"172.016.114.148"	3	"172.016.114.148"	15	"172.016.114.148"	15	"196.037.075.158"
1998-06-2409:28:53	1	"197.182.091.233"	2	"012.016.134.203"	3	"197.182.091.233"	2	"172.016.114.207"
1998-06-2411:20:49	1	"172.016.117.103"	1	"172.016.114.169"	2	"172.016.115.005"	1	"207.229.186.060"
1998-06-2413:14:44	1	"172.016.114.169"	3	"207.025.071.178"	4	"172.016.113.204"	3	"207.025.071.178"
1998-06-2417:05:23	2	"172.016.116.044"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2408:44:10	1	"172.016.113.204"	12	"207.077.090.013"	22	"172.016.113.204"	12	"207.077.090.013"
1998-06-2416:36:35	19	"172.016.114.148"	12	"192.168.001.010"	19	"172.016.114.148"	19	"194.027.251.021"
1998-06-2416:01:10	5	"197.218.177.069"	8	"192.168.001.010"	8	"197.218.177.069"	8	"192.168.001.010"
1998-06-2410:16:49	1	"172.016.114.050"	2	"172.016.112.194"	2	"194.007.248.153"	2	"196.037.075.158"
1998-06-2408:17:40	2	"192.168.001.010"	3	"195.115.218.108"	4	"172.016.114.169"	3	"195.115.218.108"
1998-06-2419:03:28	1	"192.168.001.020"	3	"192.168.001.010"	3	"172.016.116.044"	3	"192.168.001.010"
1998-06-2418:28:32	2	"172.016.116.044"	2	"172.016.114.050"	2	"196.227.033.189"	2	"208.226.198.094"
1998-06-2410:43:28	4	"197.218.177.069"	1	"207.158.237.174"	4	"197.218.177.069"	5	"172.016.112.149"
1998-06-2417:01:36	2	"172.016.116.044"	4	"192.168.001.010"	4	"172.016.116.044"	5	"192.168.001.010"
1998-06-2417:27:29	2	"172.016.116.044"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2413:55:12	1	"172.016.115.005"	3	"196.227.033.189"	6	"172.016.114.168"	3	"196.227.033.189"
1998-06-2418:36:38	1	"172.016.116.201"	1	"207.176.252.020"	1	"196.227.033.189"	1	"207.176.252.020"
1998-06-2408:53:50	4	"197.218.177.069"	2	"209.061.101.125"	4	"197.218.177.069"	4	"172.016.114.207"
1998-06-2416:45:31	2	"172.016.116.044"	10	"192.168.001.010"	10	"172.016.116.044"	11	"192.168.001.010"
1998-06-2414:28:07	1	"172.016.114.168"	4	"195.115.218.108"	4	"196.227.033.189"	4	"195.115.218.108"
1998-06-2415:13:54	1	"172.016.117.132"	1	"192.055.114.010"	4	"194.007.248.153"	1	"209.003.101.137"
1998-06-2409:36:50	1	"172.016.114.169"	1	"197.182.091.233"	4	"172.016.113.105"	2	"172.016.114.168"
1998-06-2414:40:30	1	"195.073.151.050"	1	"172.016.112.207"	3	"195.073.151.050"	1	"209.003.101.137"
1998-06-2416:56:20	2	"172.016.116.044"	5	"192.168.001.010"	5	"172.016.116.044"	5	"192.168.001.010"
1998-06-2415:16:22	6	"172.016.114.148"	3	"194.007.248.153"	10	"172.016.114.148"	7	"196.227.033.189"
1998-06-2411:23:40	1	"194.027.251.021"	1	"172.016.112.194"	2	"194.027.251.021"	1	"209.001.112.251"
1998-06-2414:16:09	4	"197.218.177.069"	2	"172.016.112.207"	7	"195.115.218.108"	6	"172.016.112.207"
1998-06-2418:37:30	1	"172.016.116.201"	2	"208.028.204.071"	2	"172.016.116.201"	2	"208.028.204.071"
1998-06-2417:04:51	2	"172.016.116.044"	10	"192.168.001.010"	10	"172.016.116.044"	10	"192.168.001.010"
1998-06-2415:39:42	20	"197.218.177.069"	5	"192.168.001.010"	20	"197.218.177.069"	21	"172.016.113.204"
1998-06-2413:14:41	1	"192.168.001.010"	3	"207.025.071.178"	4	"172.016.113.204"	3	"207.025.071.178"
1998-06-2415:08:29	1	"172.016.114.207"	2	"199.181.172.241"	4	"172.016.115.005"	2	"199.181.172.241"
1998-06-2408:22:46	1	"172.016.112.194"	1	"194.007.248.153"	4	"172.016.112.194"	2	"194.007.248.153"
1998-06-2414:45:55	1	"196.037.075.158"	2	"129.079.254.195"	4	"172.016.117.132"	2	"204.096.116.009"
1998-06-2409:22:53	4	"172.016.114.148"	3	"172.016.114.050"	4	"172.016.114.148"	4	"135.013.216.191"
1998-06-2409:35:44	3	"197.218.177.069"	2	"196.227.033.189"	3	"197.218.177.069"	3	"172.016.112.207"
1998-06-2412:01:43	1	"196.037.075.158"	3	"172.016.112.207"	6	"172.016.114.148"	3	"172.016.112.207"
1998-06-2409:32:52	1	"194.027.251.021"	1	"172.016.114.207"	4	"194.027.251.021"	1	"209.085.124.166"
1998-06-2410:37:00	1	"197.218.177.069"	1	"192.168.001.010"	3	"197.218.177.069"	2	"172.016.114.168"
1998-06-2417:09:26	2	"172.016.116.044"	11	"192.168.001.010"	11	"172.016.116.044"	11	"192.168.001.010"
1998-06-2409:07:21	1	"172.016.116.194"	1	"172.016.114.050"	3	"194.007.248.153"	1	"205.181.112.217"
1998-06-2413:25:20	1	"197.182.091.233"	3	"172.016.114.169"	12	"135.008.060.182"	3	"172.016.114.169"
1998-06-2416:25:32	5	"172.016.114.148"	9	"192.168.001.010"	9	"172.016.116.044"	9	"192.168.001.010"
1998-06-2417:20:09	3	"192.168.001.010"	3	"192.168.001.010"	4	"172.016.114.169"	3	"192.168.001.010"
1998-06-2410:12:45	1	"197.218.177.069"	2	"137.245.085.134"	3	"172.016.117.103"	2	"205.216.163.092"
1998-06-2414:49:12	12	"197.218.177.069"	2	"194.027.251.021"	12	"197.218.177.069"	12	"172.016.112.149"
1998-06-2416:51:37	2	"172.016.116.044"	19	"192.168.001.010"	19	"172.016.116.044"	19	"192.168.001.010"
1998-06-2415:10:06	1	"196.037.075.158"	4	"192.168.001.010"	4	"172.016.117.111"	5	"192.168.001.010"
1998-06-2416:35:50	2	"172.016.116.044"	15	"192.168.001.010"	15	"172.016.116.044"	15	"192.168.001.010"
1998-06-2504:38:08	1	"192.168.001.010"	2	"192.168.001.020"	2	"192.168.001.010"	2	"192.168.001.020"
1998-06-2413:19:48	1	"172.016.116.194"	2	"134.205.165.120"	3	"172.016.116.194"	2	"172.016.114.207"
1998-06-2413:29:08	1	"172.016.116.194"	3	"135.008.060.182"	4	"172.016.112.149"	3	"135.008.060.182"
1998-06-2416:03:05	2	"172.016.116.044"	16	"192.168.001.010"	16	"172.016.116.044"	16	"192.168.001.010"
1998-06-2409:47:46	1	"196.227.033.189"	2	"198.011.057.054"	2	"172.016.114.168"	2	"198.011.057.054"
1998-06-2416:44:55	1	"192.168.001.010"	3	"192.168.001.010"	3	"172.016.116.044"	3	"192.168.001.010"
1998-06-2417:26:19	2	"172.016.116.044"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2409:41:15	1	"172.016.117.103"	1	"128.163.161.040"	3	"172.016.114.168"	2	"135.013.216.191"
1998-06-2409:55:44	1	"172.016.114.169"	1	"208.214.174.076"	1	"172.016.117.103"	1	"209.073.064.121"
1998-06-2412:52:34	24	"172.016.114.148"	2	"128.174.095.019"	24	"172.016.114.148"	24	"135.008.060.182"
1998-06-2416:18:31	4	"172.016.114.148"	9	"192.168.001.010"	9	"172.016.116.044"	9	"192.168.001.010"
1998-06-2418:26:23	5	"192.168.001.010"	4	"192.168.001.010"	5	"192.168.001.010"	5	"172.016.116.044"
1998-06-2411:08:48	1	"194.027.251.021"	3	"205.181.112.065"	5	"194.027.251.021"	3	"205.181.112.065"
1998-06-2416:25:01	5	"172.016.114.148"	4	"192.168.001.010"	5	"172.016.114.148"	5	"195.115.218.108"
1998-06-2413:01:25	1	"172.016.114.169"	5	"204.123.002.075"	5	"172.016.113.204"	5	"204.123.002.075"
1998-06-2410:34:21	2	"172.016.118.020"	2	"192.168.001.020"	3	"172.016.116.201"	2	"207.025.071.145"
1998-06-2416:50:54	2	"172.016.116.044"	10	"192.168.001.010"	10	"172.016.116.044"	10	"192.168.001.010"
1998-06-2415:37:26	2	"172.016.116.044"	3	"192.168.001.010"	6	"197.218.177.069"	3	"192.168.001.010"
1998-06-2417:39:07	2	"172.016.116.044"	12	"192.168.001.010"	12	"172.016.116.044"	12	"192.168.001.010"
1998-06-2416:54:38	2	"172.016.116.044"	5	"192.168.001.010"	5	"172.016.116.044"	5	"192.168.001.010"
1998-06-2413:32:58	1	"172.016.114.207"	2	"152.163.202.133"	4	"172.016.114.168"	2	"152.163.202.133"
1998-06-2413:04:41	1	"172.016.113.105"	2	"206.186.200.115"	6	"172.016.113.105"	2	"207.178.060.136"
1998-06-2417:39:45	3	"192.168.001.010"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2410:36:05	1	"172.016.113.105"	2	"135.013.216.191"	2	"172.016.113.084"	2	"172.016.112.194"
1998-06-2413:16:53	1	"172.016.114.169"	1	"204.071.180.010"	3	"172.016.115.005"	1	"209.001.112.252"
1998-06-2418:11:47	1	"192.168.001.010"	2	"204.123.002.075"	3	"172.016.116.201"	2	"204.123.002.075"
1998-06-2423:21:33	1	"172.016.115.087"	1	"129.048.195.226"	1	"172.016.115.087"	1	"192.168.001.010"
1998-06-2413:40:32	1	"195.073.151.050"	2	"038.176.011.051"	3	"172.016.117.132"	2	"204.123.002.107"
1998-06-2414:26:07	3	"172.016.114.148"	2	"206.071.077.228"	4	"172.016.117.132"	3	"194.027.251.021"
1998-06-2415:00:06	6	"172.016.114.148"	6	"206.132.025.071"	6	"172.016.114.148"	6	"206.132.025.071"
1998-06-2414:57:14	1	"172.016.117.111"	2	"167.008.029.016"	5	"172.016.114.148"	2	"196.037.075.158"
1998-06-2409:02:58	1	"172.016.114.207"	2	"205.181.112.122"	2	"195.073.151.050"	2	"205.181.112.122"
1998-06-2500:25:17	1	"172.016.116.194"	2	"207.206.205.228"	2	"172.016.116.194"	2	"207.206.205.228"
1998-06-2417:37:23	6	"172.016.114.148"	9	"192.168.001.010"	8	"172.016.116.044"	9	"192.168.001.010"
1998-06-2413:53:28	1	"195.115.218.108"	2	"206.132.025.071"	5	"195.115.218.108"	2	"207.025.071.027"
1998-06-2413:40:18	1	"172.016.117.132"	2	"192.096.145.004"	3	"172.016.114.169"	2	"192.096.145.004"
1998-06-2412:13:55	18	"197.218.177.069"	3	"196.227.033.189"	20	"197.218.177.069"	19	"172.016.114.207"
1998-06-2408:38:13	1	"172.016.115.234"	17	"207.149.073.206"	19	"172.016.113.204"	17	"207.149.073.206"
1998-06-2413:49:31	1	"172.016.114.168"	3	"207.025.071.027"	4	"172.016.117.132"	3	"207.025.071.027"
1998-06-2414:10:04	1	"172.016.117.111"	4	"128.192.252.005"	3	"172.016.117.132"	4	"128.192.252.005"
1998-06-2413:20:56	1	"172.016.116.194"	2	"195.073.151.050"	4	"172.016.112.020"	2	"195.073.151.050"
1998-06-2409:23:37	4	"172.016.114.148"	1	"199.072.015.157"	4	"172.016.114.148"	4	"135.013.216.191"
1998-06-2415:30:56	4	"197.218.177.069"	2	"209.060.043.230"	4	"197.218.177.069"	5	"172.016.113.204"
1998-06-2412:23:12	24	"197.218.177.069"	1	"194.027.251.021"	24	"197.218.177.069"	24	"172.016.113.105"
1998-06-2408:41:26	1	"197.182.091.233"	2	"172.016.113.084"	8	"196.037.075.158"	2	"172.016.113.084"
1998-06-2419:03:23	2	"192.168.001.010"	3	"192.168.001.010"	3	"172.016.116.044"	3	"192.168.001.010"
1998-06-2414:53:02	1	"172.016.116.201"	3	"209.025.045.061"	4	"172.016.117.132"	3	"209.025.045.061"
1998-06-2416:10:18	5	"197.218.177.069"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2416:35:00	2	"172.016.116.044"	14	"192.168.001.010"	14	"172.016.116.044"	14	"192.168.001.010"
1998-06-2412:54:27	1	"196.037.075.158"	1	"172.016.114.207"	4	"172.016.114.168"	2	"172.016.113.084"
1998-06-2413:18:28	1	"172.016.114.169"	2	"172.016.113.084"	6	"172.016.114.169"	2	"209.100.054.065"
1998-06-2409:35:10	5	"172.016.114.148"	2	"207.046.130.139"	5	"172.016.114.148"	5	"195.073.151.050"
1998-06-2416:06:18	2	"172.016.116.044"	4	"192.168.001.010"	4	"172.016.116.044"	4	"192.168.001.010"
1998-06-2423:40:48	1	"172.016.115.087"	2	"207.201.138.189"	3	"172.016.115.005"	2	"207.201.138.189"
1998-06-2415:57:17	2	"172.016.116.044"	17	"192.168.001.010"	17	"172.016.116.044"	17	"192.168.001.010"
1998-06-2413:17:30	1	"197.182.091.233"	4	"192.168.001.010"	6	"172.016.112.020"	5	"192.168.001.010"
1998-06-2413:55:31	1	"172.016.114.207"	3	"172.016.112.194"	7	"172.016.114.168"	3	"172.016.112.194"
1998-06-2413:48:51	1	"192.168.001.005"	4	"207.025.071.027"	4	"172.016.117.052"	4	"207.077.090.013"
1998-06-2413:25:18	1	"172.016.113.204"	3	"172.016.114.169"	12	"135.008.060.182"	3	"172.016.114.169"
1998-06-2413:34:31	1	"172.016.117.132"	2	"204.123.002.107"	3	"172.016.117.132"	2	"204.202.136.230"
1998-06-2411:48:52	1	"192.168.001.001"	2	"135.013.216.191"	3	"172.016.113.084"	3	"135.013.216.191"
1998-06-2414:27:42	1	"196.227.033.189"	3	"130.219.034.100"	4	"172.016.114.168"	3	"195.115.218.108"
1998-06-2416:01:40	2	"172.016.116.044"	11	"192.168.001.010"	11	"172.016.116.044"	11	"192.168.001.010"
1998-06-2410:03:52	18	"197.218.177.069"	2	"198.233.040.006"	18	"197.218.177.069"	18	"172.016.114.207"
1998-06-2416:26:05	4	"197.218.177.069"	7	"192.168.001.010"	7	"172.016.116.044"	7	"192.168.001.010"
1998-06-2501:52:28	1	"192.168.001.010"	2	"192.168.001.020"	2	"192.168.001.010"	2	"192.168.001.020"
1998-06-2408:48:42	1	"172.016.116.194"	30	"199.095.074.090"	30	"172.016.116.194"	30	"199.095.074.090"
1998-06-2504:39:12	1	"172.016.115.005"	1	"152.163.210.053"	1	"172.016.115.005"	1	"152.163.210.053"
1998-06-2412:28:39	1	"192.168.001.001"	1	"192.168.001.001"	1	"192.168.001.005"	1	"204.071.200.074"
1998-06-2413:52:31	1	"172.016.115.005"	3	"167.008.029.016"	4	"172.016.114.207"	3	"206.039.184.002"
1998-06-2408:35:43	1	"172.016.115.234"	18	"209.001.224.012"	20	"172.016.115.234"	18	"209.001.224.012"
1998-06-2416:19:48	2	"172.016.116.044"	6	"192.168.001.010"	6	"172.016.116.044"	6	"192.168.001.010"
1998-06-2414:47:54	1	"172.016.117.132"	2	"204.096.116.009"	4	"172.016.117.132"	2	"204.096.116.009"
